entidade;atributo;descricao
sinapses.Criminoso;base_entity.hash;Hash alfanumérico para verificação de integridade e identificação rápida.
sinapses.Criminoso;pessoa.adactilia_d;Ausência de dedos na mão direita.
sinapses.Criminoso;pessoa.adactilia_e;Ausência de dedos na mão esquerda.
sinapses.Criminoso;pessoa.agencia;Nome da agência do banco do Servidor.
sinapses.Criminoso;pessoa.codigo_da_agencia;Código da agência do banco do Servidor..
sinapses.Criminoso;pessoa.alcunha;Apelido(s) comum(ns) da pessoa.
sinapses.Criminoso;pessoa.amputacao_d;Indica a amputação de um membro ou parte no lado direito.
sinapses.Criminoso;pessoa.amputacao_e;Indica a amputação de um membro ou parte no lado esquerda.
sinapses.Criminoso;criminoso.anotacoes_criminais;Registra observações ou notas relativas ao histórico criminal.
sinapses.Criminoso;pessoa.anquilose_d;-
sinapses.Criminoso;pessoa.anquilose_e;-
sinapses.Criminoso;pessoa.assinatura;Representa o estilo único de assinatura da pessoa.
sinapses.Criminoso;pessoa.associados;Pessoas associadas ao CPF buscado.
sinapses.Criminoso;pessoa.atividade_principal;Atividade econômica principal praticado pela pessoa ou empresa.
sinapses.Criminoso;pessoa.atividade_secundaria;Possível atividade secundária ou responsabilidade da pessoa.
sinapses.Criminoso;pessoa.data_de_atualizacao_do_cadastro;Data mais recente de atualização das informações de cadastro.
sinapses.Criminoso;pessoa.data_de_atualizacao_da_situacao_cadastral;Data mais recente de atualização da situação cadastral.
sinapses.Criminoso;pessoa.banco;Nome do banco no qual o sevidor é clente.
sinapses.Criminoso;pessoa.base_origem;Origem dos dados ou informações da pessoa.
sinapses.Criminoso;pessoa.biometria;Impressão digital usada para identificar biometricamente o eleitorado.
sinapses.Criminoso;base_entity.busca_original;Termo ou consulta original que resultou na criação desta entidade.
sinapses.Criminoso;pessoa.cabelos;Cor, tipo ou estilo dos cabelos da pessoa.
sinapses.Criminoso;pessoa.capital_socio;Valor investido pela pessoa em uma sociedade empresarial.
sinapses.Criminoso;pessoa.cargo_em_sociedade;Cargo do sócio de uma empresa
sinapses.Criminoso;pessoa.cbo;Classificação Brasileira de Ocupações
sinapses.Criminoso;pessoa.certidao_militar;Registro oficial para cidadãos masculinos em serviço militar.
sinapses.Criminoso;pessoa.cicatriz_d;Presença de cicatriz no lado direito do corpo.
sinapses.Criminoso;pessoa.cicatriz_e;Presença de cicatriz no lado esquerda do corpo.
sinapses.Criminoso;pessoa.cicatrizes;Marcas distintas na pele.
sinapses.Criminoso;pessoa.cnae;Classificação Nacional de Atividades Econômicas (CNAE).
sinapses.Criminoso;pessoa.cnae_secundario;Classificação Nacional de Atividades Econômicas secundárias (CNAE).
sinapses.Criminoso;pessoa.cnh;Licença oficial para dirigir veículos no Brasil.
sinapses.Criminoso;pessoa.categoria_cnh;Categoria da Carteira Nacional de Habilitação, indicando o tipo de veículo que a pessoa está habilitada a dirigir.
sinapses.Criminoso;pessoa.data_primeira_emissao_cnh;Data em que a Carteira Nacional de Habilitação foi emitida pela primeira vez.
sinapses.Criminoso;pessoa.data_ultima_emissao_cnh;Data em que a Carteira Nacional de Habilitação foi emitida pela última vez.
sinapses.Criminoso;pessoa.cnh_dt_validade;Limite temporal de validade da licença de condução.
sinapses.Criminoso;pessoa.cnh_espelho;Dados detalhados da licença de motorista.
sinapses.Criminoso;pessoa.cnh_situacao_via;Estado atual do documento de habilitação.
sinapses.Criminoso;pessoa.cns;Cartão Nacional de Saúde
sinapses.Criminoso;pessoa.cod_ibge_uf;Código de 2 dígitos associados a um UF.
sinapses.Criminoso;pessoa.cod_posemis;
sinapses.Criminoso;pessoa.contador;Profissional de contabilidade responsável.
sinapses.Criminoso;pessoa.cpf;Cadastro Nacional de Pessoa Física
sinapses.Criminoso;pessoa.credenciamento;Indica se o indivíduo está credenciado ou registrada no sistema.
sinapses.Criminoso;credilink_label;Identificação específica da empresa no sistema de informações comerciais Credilink.
sinapses.Criminoso;pessoa.ctps;Carteira de Trabalho e Previdência Social
sinapses.Criminoso;pessoa.data_de_admissao;Data de admissão
sinapses.Criminoso;pessoa.data_atividade_comercial;Data associada a uma determinada transação comercial.
sinapses.Criminoso;pessoa.data_cadastramento;Data de cadastramento da pessoa.
sinapses.Criminoso;pessoa.data_expedicao_rg;Quando o documento de identidade foi emitido.
sinapses.Criminoso;pessoa.inicio_de_atividade;Data da assinatura do primeiro contrato social da empresa
sinapses.Criminoso;pessoa.data_de_início_em_sociedade;Data de entrada em uma sociedade
sinapses.Criminoso;pessoa.data_nascimento;Indica o dia, mês e ano em que a pessoa nasceu.
sinapses.Criminoso;pessoa.data_obito;Data registrada do falecimento.
sinapses.Criminoso;pessoa.data_outro_documento;Data em que o documento adicional foi emitido.
sinapses.Criminoso;pessoa.dedo_amputado; Indica se existe amputação de algum dedo.
sinapses.Criminoso;pessoa.deposito_fechado;Armazenagem própria apenas para estoque do contribuinte e situada no mesmo Estado.
sinapses.Criminoso;pessoa.descricao_do_cnae;Descrição do CNAE.
sinapses.Criminoso;pessoa.descricao_cbo;Descrição da CBO
sinapses.Criminoso;pessoa.detalhes_inscricao_estadual;Apresenta informações específicas relacionadas à inscrição estadual.
sinapses.Criminoso;pessoa.dni;Documento Nacional de Identidade
sinapses.Criminoso;pessoa.doador;Indica se a pessoa é doadora de orgãos.
sinapses.Criminoso;pessoa.drr;Pontos de Presença da Receita Estadual (Secretaria da Fazenda)
sinapses.Criminoso;pessoa.data_situacao_cadastral;Data de alterações significativas no cadastro legal da pessoa ou empresa.
sinapses.Criminoso;pessoa.ectrodactilia_d;Malformação congênita presente na mão direita
sinapses.Criminoso;pessoa.ectrodactilia_e;Malformação congênita presente na mão esquerda.
sinapses.Criminoso;pessoa.e_mail;Contato eletrônico primário da pessoa para correspondências digitais.
sinapses.Criminoso;pessoa.matricula_employee;Identificador do indivíduo como funcionário em uma organização.
sinapses.Criminoso;pessoa.envio_de_arquivos_de_efd;Indica se há obrigatoriedade de envio dos arquivos da Escrituração Fiscal Digital (EFD) para a administração tributária.
sinapses.Criminoso;pessoa.escolaridade;Escolaridade da pessoa
sinapses.Criminoso;pessoa.estado_civil;Situação matrimonial atual da pessoa.
sinapses.Criminoso;pessoa.estatura;Altura da pessoa.
sinapses.Criminoso;pessoa.faixa_etaria;Faixa etária.
sinapses.Criminoso;pessoa.fator_rh;Tipo de antígeno presente no sangue da pessoa.
sinapses.Criminoso;pessoa.filepath;Caminho para um arquivo de referência
sinapses.Criminoso;pessoa.filhosmaiores;Informação sobre filhos da pessoa que são legalmente adultos.
sinapses.Criminoso;pessoa.filhosmenores;Informação sobre filhos da pessoa que ainda não são legalmente adultos.
sinapses.Criminoso;pessoa.filiacao;Nomes dos pais ou tutores.
sinapses.Criminoso;pessoa.formacao;Formação da pessoa
sinapses.Criminoso;pessoa.formulario_renach;Identificação do formulário do Registro Nacional de Condutores Habilitados.
sinapses.Criminoso;pessoa.grau_de_instrucao;Nível educacional do indivíduo.
sinapses.Criminoso;pessoa.grau_de_parentesco;Grau de parentesco com o alvo da busca
sinapses.Criminoso;pessoa.id_corpo;Número único para identificação de um corpo.
sinapses.Criminoso;base_entity.id;Identificador único da entidade no sistema.
sinapses.Criminoso;pessoa.id_profissional;Número que identifica a pessoa em seu contexto profissional.
sinapses.Criminoso;pessoa.idade;Idade atual da pessoa.
sinapses.Criminoso;pessoa.idioma;Idioma falado ou conhecido pela pessoa.
sinapses.Criminoso;pessoa.impossivel_assinar;Indica se a pessoa tem alguma limitação que a impede de assinar documentos.
sinapses.Criminoso;pessoa.informacoes_adicionais;Dados complementares relevantes.
sinapses.Criminoso;pessoa.info_restricao;Restrições financeiras ou legais.
sinapses.Criminoso;pessoa.ie;Inscrição Estadual associada
sinapses.Criminoso;label_default_key;Identificação padrão usada para categorizar ou marcar a pessoa.
sinapses.Criminoso;pessoa.link;Endereço eletrônico associado à pessoa.
sinapses.Criminoso;pessoa.macrodactilia_d; Dedos anormalmente grandes na mão direita.
sinapses.Criminoso;pessoa.macrodactilia_e; Dedos anormalmente grandes na mão esquerda.
sinapses.Criminoso;pessoa.mae;Indica o nome completo da mãe da pessoa.
sinapses.Criminoso;pessoa.matricula;Identificador único em contextos educacionais ou corporativos.
sinapses.Criminoso;pessoa.media_credito;Média mensal das movimentações de crédito.
sinapses.Criminoso;pessoa.media_debito;Média mensal das movimentações de débito.
sinapses.Criminoso;pessoa.mei;Micro Empreendedor Individual
sinapses.Criminoso;pessoa.mei_caminhoneiro;Micro Empreendedor Individual - Caminhoneiro
sinapses.Criminoso;pessoa.microdactilia_d;Dedos anormalmente pequenos na mão direita.
sinapses.Criminoso;pessoa.microdactilia_e;Dedos anormalmente pequenos na mão esquerda.
sinapses.Criminoso;pessoa.motivo_da_restricao;Motivos de restrições financeiras ou legais.
sinapses.Criminoso;person.mp_virtual_code;Código virtual associado à pessoa no Ministério Público.
sinapses.Criminoso;pessoa.nacionalidade; País de origem ou cidadania da pessoa.
sinapses.Criminoso;pessoa.naturalidade;Cidade ou localidade onde a pessoa nasceu.
sinapses.Criminoso;pessoa.natureza_juridica;Natureza da relação entre o autônomo e seus clientes ou contratantes.
sinapses.Criminoso;pessoa.nome_anterior;Nome utilizado anteriormente pela pessoa
sinapses.Criminoso;pessoa.fullname;Nome completo de uma Pessoa
sinapses.Criminoso;pessoa.nome_social;Autoidentificação da pessoa.
sinapses.Criminoso;pessoa.numero_outro_documento;Número específico do documento adicional mencionado.
sinapses.Criminoso;pessoa.numero_registro_sicri;Número de Registro no Sistema de Identificacao Criminal
sinapses.Criminoso;pessoa.aplicativo_nfpe;Número do documento NFP-e associado à Pessoa.
sinapses.Criminoso;pessoa.obito;Verifica se há registro de falecimento.
sinapses.Criminoso;pessoa.observacoes;Observações a respeito do indivíduo.
sinapses.Criminoso;pessoa.olhos;Cor ou características dos olhos da pessoa.
sinapses.Criminoso;pessoa.orgao_emissor_outro_documento;Entidade que emitiu o documento adicional.
sinapses.Criminoso;pessoa.orgao_emissor_rg;Instituição que emitiu o documento de identidade da pessoa.
sinapses.Criminoso;pessoa.outras_caracteristicas;Informações adicionais sobre características físicas.
sinapses.Criminoso;pessoa.outras_ocorrencias;Quantidade de outras ocorrências
sinapses.Criminoso;pessoa.outro_documento;Indica a presença de um documento adicional relevante.
sinapses.Criminoso;pessoa.outros;Engloba diferentes documentos adicionais relevantes para a pessoa.
sinapses.Criminoso;pessoa.pcd;Pessoa com deficiência
sinapses.Criminoso;pessoa.cadastro_do_paf_ecf;Indica se o indivíduo em questão tem o Programa Aplicativo Fiscal para o Emissor de Cupom Fiscal (PAF-ECF) cadastrado no sistema.
sinapses.Criminoso;pessoa.pai;Indica o nome completo do pai da pessoa.
sinapses.Criminoso;pessoa.pais_passaporte;País de origem do passaporte.
sinapses.Criminoso;pessoa.parentesco;Relação de parentesco da pessoa com outras entidades.
sinapses.Criminoso;pessoa.participacao;Refere-se ao papel ou posição que uma pessoa ocupa dentro da estrutura societária de uma empresa.
sinapses.Criminoso;pessoa.passaporte;Numero do Passaporte
sinapses.Criminoso;pessoa.pele;Descrição da tonalidade ou características da pele.
sinapses.Criminoso;pessoa.pena_imposta;Punição ou castigo imposto por lei a algum crime, delito ou contravenção.
sinapses.Criminoso;pessoa.peso;Massa corporal para identificação.
sinapses.Criminoso;pessoa.pgu;Identificador no documento de habilitação
sinapses.Criminoso;pessoa.pis;Número de registro no programa PIS/PASEP, importante para benefícios sociais e trabalhistas.
sinapses.Criminoso;pessoa.polidactilia_d;Presença de dedos extras na mão direita.
sinapses.Criminoso;pessoa.polidactilia_e;Presença de dedos extras na mão esquerda.
sinapses.Criminoso;pessoa.porte;Descrição física geral da pessoa, como porte atlético, magro, etc.
sinapses.Criminoso;pessoa.possui_salario;Verifica se existe informação sobre salário.
sinapses.Criminoso;pessoa.primeiros_nomes;Primeiro nome de uma Pessoa
sinapses.Criminoso;pessoa.procedencia;Procedência do indivíduo
sinapses.Criminoso;pessoa.procon;Informacoes do PROCON
sinapses.Criminoso;pessoa.profissao;Atividade profissional exercida.
sinapses.Criminoso;criminoso.qt_anotacoes_9099;Contagem de registros relacionados à Lei dos Juizados Especiais (Lei 9.099).
sinapses.Criminoso;criminoso.qt_anotacoes_criminais;Número total de registros ou observações no histórico criminal.
sinapses.Criminoso;criminoso.qt_mandados_cumpridos;Número de mandados de prisão ou judiciais efetivamente executados.
sinapses.Criminoso;pessoa.qtd_processos;Quantidade de processos judiciais ou administrativos relacionados.
sinapses.Criminoso;pessoa.qualidade;Características ou atributos específicos da pessoa.
sinapses.Criminoso;pessoa.qualificação_societária;Qualificação do sócio em uma empresa
sinapses.Criminoso;pessoa.razao_social;Razão Social da Empresa
sinapses.Criminoso;pessoa.recaptura;Detalhes sobre eventuais processos de recaptura associados à pessoa.
sinapses.Criminoso;pessoa.regime_de_tributacao;Um sistema que estabelece a cobrança de impostos de cada CNPJ.
sinapses.Criminoso;pessoa.regime_de_pagamento;Sistema utilizado para quitar obrigações financeiras.
sinapses.Criminoso;pessoa.regimebens; Termos legais que regem a propriedade dos bens em um casamento.
sinapses.Criminoso;pessoa.unidade_regional_tributaria;Unidade Regional Tributária a qual o profissional está registrado ou associado.
sinapses.Criminoso;pessoa.renach;Registro Nacional de Carteira de Habilitacao.
sinapses.Criminoso;pessoa.renda_estimada;Estimativa de renda.
sinapses.Criminoso;pessoa.renda_presumida;Renda presumida.
sinapses.Criminoso;pessoa.restricoes_medicas;Indica se a pessoa possui restrições médicas.
sinapses.Criminoso;pessoa.rg;Documento oficial brasileiro para identificação pessoal.
sinapses.Criminoso;pessoa.rg_pm;Número de identificação da Polícia Militar.
sinapses.Criminoso;pessoa.rne;Identificação para estrangeiros residentes no Brasil.
sinapses.Criminoso;base_entity.secret;Chave secreta para operações de segurança interna e autenticação.
sinapses.Criminoso;pessoa.serie_ctps;Número de Série da Carteira de Trabalho e Previdência Social
sinapses.Criminoso;pessoa.sexo;Gênero biológico da pessoa.
sinapses.Criminoso;pessoa.sigilo;Classificação de confidencialidade do registro.
sinapses.Criminoso;pessoa.signo;Signo zodiacal.
sinapses.Criminoso;pessoa.simples_nacional;Regime simplificado e unificado de arrecadação
sinapses.Criminoso;pessoa.sindactilia_d;Descreve a fusão dos dedos na mão direita.
sinapses.Criminoso;pessoa.sindactilia_e;Descreve a fusão dos dedos na mão esquerda
sinapses.Criminoso;pessoa.situacao_atual;Situação atual sobre o emprego da Pessoa.
sinapses.Criminoso;pessoa.situacao_cadastral_vigente;Informações sobre a situação econômica, financeira ou fiscal do titular do CPF.
sinapses.Criminoso;pessoa.situacao_do_cpf;Nenhuma pendência no cadastro do contribuinte.
sinapses.Criminoso;criminoso.situacao_criminal;Descreve o status legal atual do indivíduo no sistema de justiça.
sinapses.Criminoso;pessoa.sobrenome;Sobrenome de uma Pessoa.
sinapses.Criminoso;pessoa.status_receita;Situação fiscal na Receita Federal.
sinapses.Criminoso;pessoa.tatuagens;Desenhos corporais para identificação.
sinapses.Criminoso;pessoa.tel_id;Identificador exclusivo associado ao telefone da pessoa.
sinapses.Criminoso;pessoa.tipo_do_contribuinte;Classificação quanto ao tipo de contribuição do profissional.
sinapses.Criminoso;pessoa.tipo_pis_pasep;Categoria ou variação do programa PIS/PASEP ao qual a pessoa está vinculada.
sinapses.Criminoso;pessoa.tipo_sanguineo;Grupo sanguíneo da pessoa.
sinapses.Criminoso;pessoa.titulo_eleitor;Identificação para participação em processos eleitorais.
sinapses.Criminoso;pessoa.total_credito;Soma total das movimentações de crédito realizadas pela pessoa.
sinapses.Criminoso;pessoa.total_debito;Soma total das movimentações de débito realizadas pela pessoa.
sinapses.Criminoso;pessoa.uf;Unidade Federativa
sinapses.Criminoso;pessoa.uf_cnh;Estado emissor da licença de motorista.
sinapses.Criminoso;pessoa.uf_ctps;Estado da Carteira de Trabalho e Previdência Social
sinapses.Criminoso;pessoa.uf_de_nascimento;Indica a UF onde a pessoa nasceu
sinapses.Criminoso;pessoa.uf_outro_documento;Estado brasileiro onde o documento adicional foi emitido.
sinapses.Criminoso;pessoa.uf_do_rg;Estado emissor do documento de identidade.
sinapses.Criminoso;pessoa.ultima_situacao;Registro mais recente da condição legal ou comercial da pessoa ou empresa.
sinapses.Criminoso;pessoa.ultimo_salario;Valor mais recente do salário registrado.
sinapses.Criminoso;base_entity.base_de_origem;Identificação da base ou contexto original de onde a entidade foi gerada.
sinapses.Criminoso;pessoa.vulgo;Nome pelo qual a pessoa é conhecida popularmente, diferente do nome legal.
sinapses.Criminoso;pessoa.zona;Zona eleitoral.
sinapses.Empresa;base_entity.hash;Hash alfanumérico para verificação de integridade e identificação rápida.
sinapses.Empresa;empresa.alvara;Documento oficial que autoriza a empresa a realizar suas atividades comerciais ou industriais.
sinapses.Empresa;empresa.atividade_principal;Área de negócio central da empresa, definindo seu mercado principal.
sinapses.Empresa;empresa.atividade_secundaria;Áreas adicionais de atuação da empresa, expandindo seu alcance de mercado.
sinapses.Empresa;empresa.data_de_atualizacao_do_cadastro;Data mais recente de atualização das informações de cadastro.
sinapses.Empresa;base_entity.busca_original;Termo ou consulta original que resultou na criação desta entidade.
sinapses.Empresa;empresa.candidatura;Participação da empresa em campanhas eleitorais.
sinapses.Empresa;empresa.capital;Valor oficial do capital investido na empresa, indicando sua escala financeira.
sinapses.Empresa;empresa.capital_integralizado;Valor do capital integralizado pela empresa.
sinapses.Empresa;empresa.cep;CEP ou Zipcode do endereço.
sinapses.Empresa;city;Município onde a empresa está registrada.
sinapses.Empresa;empresa.cnae;Classificação Nacional de Atividades Econômicas (CNAE).
sinapses.Empresa;empresa.cnae_secundario;Classificação Nacional de Atividades Econômicas secundárias (CNAE).
sinapses.Empresa;empresa.cnpj;CNPJ - Cadastro Nacional da Pessoa Juridica
sinapses.Empresa;empresa.codigo_de_cargo_na_sociedade;Codigo do cargo ocupado por um sócio em uma sociedade
sinapses.Empresa;empresa.codigo_ibge;Código do Instituto Brasileiro de Geografia e Estatística.
sinapses.Empresa;empresa.cod_ibge_do_municipio;Código de 7 dígitos associados a um município.
sinapses.Empresa;empresa.credenciamento;Indica se a empresa está credenciada ou registrada no sistema.
sinapses.Empresa;credilink_label;Identificação específica da empresa no sistema de informações comerciais Credilink.
sinapses.Empresa;empresa.credito_presumido;Crédito presumido da Empresa.
sinapses.Empresa;empresa.cte;O CT-e deve ser emitido para registrar operações de prestação de serviço de transporte de cargas.
sinapses.Empresa;empresa.data_cte;Data que o CT-e foi emitido.
sinapses.Empresa;data_da_portabilidade.;Data que a portabilidade ocorreu.
sinapses.Empresa;empresa.data_exclusão_mei;Data da exclusão no MEI
sinapses.Empresa;empresa.data_exclusão_simples_nacional;Data da exclusão no Simples Nacional
sinapses.Empresa;empresa.data_falencia;Data oficial do anúncio de falência da empresa.
sinapses.Empresa;empresa.data_de_fundacao;Data de fundação da Empresa
sinapses.Empresa;empresa.data_inicio_de_atividade;Data da assinatura do primeiro contrato social da empresa
sinapses.Empresa;empresa.data_inclusão_mei;Data da inclusão no MEI
sinapses.Empresa;empresa.portabilidade;Data de transferência de serviços ou infraestrutura da empresa.
sinapses.Empresa;empresa.data_revogacao_falencia;Data em que a falência da empresa foi anulada.
sinapses.Empresa;empresa.data_inclusão_simples_nacional;Data da inclusão no Simples Nacional
sinapses.Empresa;empresa.data_da_situacao_na_unidade_federativa;Data da Situação na Unidade Federativa
sinapses.Empresa;empresa.deposito_fechado;Armazenagem própria apenas para estoque do contribuinte e situada no mesmo Estado.
sinapses.Empresa;empresa.descricao_de_cargo_na_sociedade;Descrição do cargo ocupado por um sócio em uma sociedade
sinapses.Empresa;empresa.descricao_do_cnae;Descrição do CNAE.
sinapses.Empresa;empresa.descrição_da_natureza_jurídica;Descrição da Natureza Jurídica da Empresa.
sinapses.Empresa;empresa.detalhes_inscricao_estadual;Apresenta informações específicas relacionadas à inscrição estadual.
sinapses.Empresa;empresa.dt_baixa_alvara;Data em que o alvará de funcionamento da empresa foi oficialmente encerrado ou revogado.
sinapses.Empresa;empresa.dt_concessao_alvara;Data em que foi concedido o alvará de funcionamento.
sinapses.Empresa;empresa.data_de_consulta;Data de acesso ou atualização das informações da empresa.
sinapses.Empresa;empresa.dt_criacao;Marca o início formal das operações da empresa.
sinapses.Empresa;empresa.data_de_entrada_na_sociedade;Data em que o sócio buscado entrou na sociedade
sinapses.Empresa;empresa.dt_fim;Data que marca o término ou dissolução legal da empresa.
sinapses.Empresa;empresa.dt_consulta;Faixa de datas das últimas consultas sobre a empresa.
sinapses.Empresa;empresa.data_situacao_cadastral;Data de alterações significativas no cadastro legal da empresa.
sinapses.Empresa;empresa.data_situacao_especial;Data da situação especial da condição legal ou comercial da empresa.
sinapses.Empresa;empresa.perfil_escrituracao;Perfil de detalhamento dos documentos escriturados.
sinapses.Empresa;empresa.data_efd;Data obrigatoriedade do Perfil de Escrituração.
sinapses.Empresa;empresa.data_de_exclusão_do_efd;Data de exclusão do Perfil de Escrituração.
sinapses.Empresa;empresa.e_mail;Endereço eletrônico utilizado para comunicação oficial e contatos da empresa.
sinapses.Empresa;address;Localização exata e completa da sede da empresa.
sinapses.Empresa;empresa.envio_de_arquivos_de_efd;Indica se há obrigatoriedade de envio dos arquivos da Escrituração Fiscal Digital (EFD) para a administração tributária.
sinapses.Empresa;empresa.estado;Unidade federativa brasileira onde a empresa está oficialmente registrada.
sinapses.Empresa;base_entity.expandable;Valores a serem expandidos
sinapses.Empresa;empresa.filepath;Caminho para arquivo de referencia
sinapses.Empresa;sinapses.historico_trabalhista;Compilação de registros de emprego e relações trabalhistas da empresa.
sinapses.Empresa;id;Código único para identificação da empresa.
sinapses.Empresa;empresa.info_restricao;Restrições empresariais.
sinapses.Empresa;empresa.informacao_inscricao_estadual;Informação sobre a Inscrição Estadual.
sinapses.Empresa;empresa.inscricao_estadual;Número de registro da empresa no cadastro do ICMS estadual.
sinapses.Empresa;jurisdiction;Região ou domínio legal no qual a empresa opera.
sinapses.Empresa;empresa.link;URL relacionado à empresa, fornecendo acesso direto a mais informações online.
sinapses.Empresa;empresa.cnpj;CNPJ - Cadastro Nacional da Pessoa Juridica
sinapses.Empresa;empresa.id_matriz;Empresa é matriz?
sinapses.Empresa;empresa.media_credito;Representa a média mensal de entradas financeiras na empresa.
sinapses.Empresa;empresa.media_debito;Indica a média mensal de saídas financeiras da empresa.
sinapses.Empresa;empresa.empresa_mei;Indica se a empresa opera como Microempreendedor Individual.
sinapses.Empresa;empresa.moeda;Código de moeda utilizada.
sinapses.Empresa;company.mp_virtual_code;Identificador digital da empresa em sistemas governamentais.
sinapses.Empresa;empresa.natureza_juridica;Categoria legal que define a estrutura e regulação da empresa.
sinapses.Empresa;empresa.nfe;Data de Nota Fiscal eletrônica
sinapses.Empresa;empresa.nire;Identificador único para o registro estadual da empresa, essencial para trâmites legais.
sinapses.Empresa;nome_prestadora.;Nome da prestadora de serviços.
sinapses.Empresa;empresa.nome_fantasia;Nome utilizado comercialmente pela empresa
sinapses.Empresa;empresa.numero_candidato;Número identificador de candidato vinculado à empresa.
sinapses.Empresa;empresa.objeto_social;Atividade à qual a empresa se dedica.
sinapses.Empresa;empresa.ct_e_obrigatorio;O CT-e é obrigatório?
sinapses.Empresa;empresa.efd_obrigatorio;O EFD é obrigatório?
sinapses.Empresa;empresa.observacoes;Observações a respeito do indivíduo.
sinapses.Empresa;empresa.ocorrencia_fiscal;Indica se a empresa está autorizada a operar e realizar transações comerciais de acordo com as regulamentações fiscais do estado em questão.
sinapses.Empresa;empresa.outro_documento;Indica a presença de um documento adicional relevante.
sinapses.Empresa;empresa.outros_nomes;Nomes alternativos ou históricos usados pela empresa no comércio ou marketing.
sinapses.Empresa;empresa.cadastro_do_paf_ecf;Indica se a empresa em questão tem o Programa Aplicativo Fiscal para o Emissor de Cupom Fiscal (PAF-ECF) cadastrado no sistema.
sinapses.Empresa;empresa.participacao_na_sociedade;Participação de um sócio em uma sociedade
sinapses.Empresa;empresa.partido;Afiliação partidária da empresa.
sinapses.Empresa;empresa.porte;Porte da Empresa.
sinapses.Empresa;empresa.posto_fiscal;Refere-se ao posto fiscal ao qual a empresa está vinculada para efeitos de fiscalização tributária.
sinapses.Empresa;empresa.procon;Informacoes do PROCON
sinapses.Empresa;empresa.produtor_rural;Indica se diz respeito a um produtor rural de pequeno porte.
sinapses.Empresa;empresa.quantidade_de_funcionarios_acima_de_5_salarios;Funcionários >5 salários.
sinapses.Empresa;empresa.quantidade_de_funcionarios_abaixo_de_5_salarios;Funcionários <5 salários.
sinapses.Empresa;empresa.qtd_processos;Número total de ações judiciais envolvendo a empresa.
sinapses.Empresa;properties.company;Razão Social da Empresa
sinapses.Empresa;empresa.regime_apuracao;Regime de apuração fiscal
sinapses.Empresa;empresa.regime_de_tributacao;Um sistema que estabelece a cobrança de impostos de cada CNPJ.
sinapses.Empresa;empresa.regime_de_pagamento;Sistema utilizado para quitar obrigações financeiras.
sinapses.Empresa;empresa.regional;Especificação regional de onde a empresa está associada.
sinapses.Empresa;empresa.secret;Informações confidenciais da empresa.
sinapses.Empresa;empresa.sequencial;ID único empresarial.
sinapses.Empresa;empresa.sigilo;Indicador de confidencialidade aplicado a informações sensíveis da empresa.
sinapses.Empresa;empresa.simples_nacional;Empresa optante pelo Simples Nacional?
sinapses.Empresa;base_entity.sinapses_adicionais;
sinapses.Empresa;empresa.situacao_atual;Situação atual da condição legal ou comercial da empresa.
sinapses.Empresa;empresa.situacao_do_cnpj;Situação do CNPJ.
sinapses.Empresa;empresa.situacao_especial;Situação especial da condição legal ou comercial da empresa.
sinapses.Empresa;empresa.situacao_inscricao_estadual;Situação da Inscrição Estadual em relação à Empresa.
sinapses.Empresa;empresa.situacao_nfe;Situação da nota fiscal eletronica (NFE).
sinapses.Empresa;empresa.status_receita;Estado fiscal na Receita
sinapses.Empresa;empresa.situacao_cadastral_vigente;Situação cadastral referente ao estado atual de seus registros.
sinapses.Empresa;empresa.sublimite_do_simples_nacional;Indica se a empresa, enquadrada no Simples, ultrapassou o limite de receita anual que determina a necessidade do pagamento de ISS (Imposto Sobre Serviços) e ICMS (Imposto sobre Circulação de Mercadorias e Serviços) adicionais
sinapses.Empresa;empresa.tipo_area;Especialização da empresa, indicando os setores de mercado em que atua.
sinapses.Empresa;empresa.tipo_do_contribuinte;Classificação quanto ao tipo de contribuição da empresa.
sinapses.Empresa;empresa.tipo_do_cte;Tipo de CT-e.
sinapses.Empresa;type;Diferenciação entre matriz e filial, revelando a estrutura organizacional da empresa.
sinapses.Empresa;empresa.tipo_de_ie;Tipo de Inscrição Estadual.
sinapses.Empresa;empresa.tipo_de_imposto;Categoria tributária.
sinapses.Empresa;empresa.tipo_prodtuor;Tipo de produtor.
sinapses.Empresa;empresa.total_credito;Soma do crédito processado pela empresa.
sinapses.Empresa;empresa.total_debito;Volume total de transações de saída financeira acumuladas pela empresa.
sinapses.Empresa;empresa.total_de_funcionarios;Total de funcionarios da Empresa
sinapses.Empresa;empresa.ultima_situacao;Registro mais recente da condição legal ou comercial da empresa.
sinapses.Empresa;status;Estado operacional atual da empresa no mercado.
sinapses.Empresa;empresa.unidade_de_atendimento;Indica a origem ou a unidade de atendimento responsável por tratar as informações relacionadas ao contribuinte ou empresa.
sinapses.Empresa;empresa.unidade_eleitoral;Área eleitoral onde a empresa tem influência.
sinapses.Empresa;base_entity.base_de_origem;Identificação da base ou contexto original de onde a entidade foi gerada.
sinapses.Empresa;empresa.valor_proposto;Valor unitário proposto pela empresa durante uma licitação
sinapses.Empresa;empresa.valor_quota;Valor de quota empresarial
sinapses.Biometria;base_entity.hash;Hash alfanumérico para verificação de integridade e identificação rápida.
sinapses.Biometria;base_entity.busca_original;Termo ou consulta original que resultou na criação desta entidade.
sinapses.Biometria;base_entity.expandable;Valores a serem expandidos
